form,seq,domain,lethality_tier,concept,item_id,difficulty,stem,correct_choice,distractors
A,25,daily,3,Bedside emergency preparedness,da-39,hard,"A trach patient is being sent to CT for a 20-minute scan. Why must the full bedside emergency kit go with them, not just a portable oxygen tank?","Airway emergencies can happen in transit, where bedside equipment can't reach","CT scanners already contain trach emergency equipment | It is only required for laryngectomy patients, not trach patients | Portable oxygen alone fully covers any airway emergency"
B,1,emergencies,1,Two failure modes,em-02,easy,"Which of the two failure modes — obstruction or displacement — is the more common cause of tracheostomy emergencies on a general floor?","Obstruction (mucus plug)","Displacement | They are exactly equal in frequency | Neither — infection is most common"
B,2,emergencies,1,Removal sequence rationale,em-15,medium,"Why must the speaking valve or cap come off BEFORE anything else in a distressed trach patient, rather than going straight to suctioning?","A one-way valve traps air in if the patient can't exhale","It makes suctioning more comfortable | It has to be cleaned between uses | It interferes with the pulse oximeter"
B,3,emergencies,1,Catheter/ventilation interpretation,em-18,medium,"You've removed the valve and inner cannula and passed a catheter with no obstruction found, but the chest still doesn't move with bagging via the tube. What should you now suspect?","Displacement or a false passage","A simple mucus plug further down | Cuff over-inflation | Normal post-suction coughing"
B,4,emergencies,1,Fresh trach — false-passage risk,em-13,easy,"Can a dislodged fresh (under 5–7 day old) tracheostomy tube be safely pushed back in blindly at the bedside?","No, never attempt blind reinsertion","Yes, if done within one minute | Yes, if the patient is calm | Only if the RN has done it before"
B,5,emergencies,1,False passage: danger & recognition,em-30,hard,"During bag-valve ventilation through a suspected malpositioned tube, what physical exam finding on the neck should immediately raise suspicion for a false passage?","Crepitus / subcutaneous emphysema around the neck","Bilateral wheeze on auscultation | Jugular venous distension only | Warm, dry skin at the stoma"
B,6,emergencies,1,Laryngectomy O2 route / Red algorithm,em-38,hard,"A 'tubed' laryngectomy patient's small stoma tube falls out. Is the rescue response the same as for a displaced tracheostomy — occlude the stoma and ventilate at the face?","No — ventilate directly at the stoma; face ventilation is useless","Yes — the response is identical for both populations | Yes, but only if the patient is hemodynamically stable | No — laryngectomy patients cannot be bag-mask ventilated at all"
B,7,emergencies,1,Displacement lethality / capnography,em-31,hard,"How do suction catheter behavior and capnography together help you tell obstruction from displacement when the presentation looks similar?","Catheter resistance suggests obstruction; a missing CO2 waveform despite bagging suggests displacement","Catheter resistance always means displacement | Capnography cannot distinguish the two situations | A waveform confirms obstruction, not displacement"
B,8,valves,1,Speaking valve prerequisite: cuff down,va-04,medium,"A patient's cuff was confirmed deflated for a valve trial this morning. That afternoon a different nurse wants to reapply the same valve. What must happen first?","Reconfirm cuff deflation right before this application","Trust the morning documentation | Ask the patient if they feel short of breath first | Only recheck if the patient looks distressed"
B,9,valves,1,Valve-over-inflated-cuff physiology,va-05,hard,"The cuff syringe shows only 2 mL still in the pilot balloon — 'basically down.' Is it safe to place the speaking valve?","No — it must be fully deflated, not partially","Yes — a few mL of residual air is negligible | Yes, as long as pressure reads under 20 cmH2O | It only matters if the patient reports discomfort"
B,10,valves,1,Valve contraindicated post-laryngectomy,va-08,hard,"Anatomically, why exactly does a one-way speaking valve have no safe exit for exhaled air after a total laryngectomy?","The trachea is a blind-ending stoma with no route to the upper airway","The vocal cords are removed but the trachea still connects to the pharynx | The cuff cannot be deflated after laryngectomy | The stoma is too small for exhaled air to pass"
B,11,valves,1,Cuff pressure: measure, do not habituate,va-17,easy,"What device should be used to accurately measure and set tracheostomy cuff pressure?","A cuff pressure manometer","A pulse oximeter | A 10 mL syringe alone | A stethoscope over the trachea"
B,12,valves,1,Suction-induced bradycardia/hypoxia,va-33,hard,"Explain the mechanism by which suctioning can cause sudden bradycardia.","Catheter stimulation of vagal nerve endings triggers a reflex slowdown","Suction pressure directly compresses the carotid artery | Hypoxia alone always causes bradycardia within seconds | The cuff pushes on the vagus nerve during suctioning"
B,13,basics,1,Partial vs total neck breather,ba-02,easy,"What does it mean to call a total laryngectomy patient a ""total neck breather""?","100% of breathing occurs through the stoma","They still breathe partly through the nose | Their trach tube can be removed at will | Their mouth is their main airway"
B,14,basics,1,Desaturation O2 route,ba-04,easy,"A total laryngectomy patient desaturates. Which route MUST you use to deliver oxygen?","Stoma only","Face mask only | Nasal cannula only | Either face or stoma"
B,15,basics,1,Unsure trach vs laryngectomy — safest act,ba-05,easy,"Before touching any neck-airway patient, what is the single question you must answer first?","Is this patient a tracheostomy or a laryngectomy?","What size is the trach tube? | When was the tube last changed? | Is the cuff currently inflated?"
B,16,basics,1,Laryngectomy ventilation anatomy,ba-18,medium,"During resuscitation of a laryngectomy patient, where do you seal the bag-mask to ventilate them?","Over the stoma","Over the mouth and nose | Over the mouth only, nose occluded | Split — half the breaths to each route"
B,17,complications,2,Expanding neck hematoma → airway,co-01,easy,"A post-op neck patient feels their neck getting tight and their voice change. What complication must you suspect immediately?","Expanding neck hematoma","Normal post-op swelling | Anxiety attack | Allergic reaction"
B,18,complications,2,Tracheo-innominate fistula: temporize,co-24,medium,"A tracheo-innominate fistula is suspected and actively bleeding. What is the FIRST temporizing maneuver at the bedside?","Hyperinflate the tracheostomy cuff","Deflate the cuff to relieve pressure | Remove the tube entirely and pack the stoma | Give antifibrinolytic medication IV first"
B,19,complications,2,Sentinel bleed / carotid blowout,co-17,easy,"In a radiated neck, a small wound bleed stops on its own. Is this reassuring?","No — it is a sentinel bleed warning sign","Yes — stopped bleeding means it resolved | Only concerning if it happens twice | Only concerning if the patient is hypotensive"
B,20,complications,2,Free-flap venous vs arterial,co-07,easy,"On free flap checks, a pale, cool flap with no Doppler signal points to which type of vascular compromise?","Arterial compromise","Venous compromise | Expected flap edema | Dehydration"
B,21,complications,2,Subcutaneous emphysema red flag,co-34,medium,"Why is new or worsening subcutaneous emphysema after a tracheostomy a red flag rather than a benign finding?","It can signal tracheal injury or an accompanying pneumothorax","It always resolves spontaneously and needs no monitoring | It only ever indicates cuff over-inflation | It confirms tube displacement into the esophagus"
B,22,daily,3,Humidification / mucus-plug prevention,da-07,hard,"A trach patient on a passive HME has secretions that are already thick and increasingly hard to clear despite the HME being in place. What is the correct next humidification step, and why?","Switch to active heated humidification — the HME can't add extra moisture","Increase suction frequency and leave the HME in place | Add a second HME in series for double filtration | Switch to a smaller inner cannula to widen the lumen"
B,23,daily,3,Silent deterioration / scheduled checks,da-08,hard,"Why can pulse oximetry stay reassuringly normal even as a mucus plug is silently developing overnight?","SpO2 only drops once narrowing is severe, lagging behind the true process","SpO2 always falls immediately with any secretion buildup | Pulse oximeters cannot function on trach patients | SpO2 rises falsely high when secretions thicken"
B,24,daily,3,Silent aspiration / swallow safety,da-34,hard,"Why must a new trach patient have a formal swallow evaluation before starting an oral diet, rather than a nurse simply judging by cuff status alone?","Because aspiration can be silent and needs formal mechanical assessment","Because diet orders legally require a dietitian consult only | Because cuff status alone always predicts swallow safety | Because trach patients are never allowed oral intake"
B,25,daily,3,Bedside emergency preparedness,da-10,easy,"What two spare tracheostomy tubes must be kept at every trach patient's bedside?","Same size AND one size smaller","Same size and one size larger | Only the same size, doubled up | Any size, as long as one is present"
